书名,作者,折扣价,出版商,详细链接,简介
名家名作阅读课程化书系：经典常谈（赠手册）,无作者,¥25.00,四川教育出版社,http://product.dangdang.com/29986730.html,无简介
让我陪你重返狼群+千里寻你重返狼群 2册套装 一部《狼图腾》之后,李微漪,¥59.00,安徽少年儿童出版社,http://product.dangdang.com/30004973.html,一部以命换来的书。一种无法复制、难以再现的非虚构小说。这是一部《狼图腾》之后再创狼族奇迹的震撼之作。姜戎、张抗抗、白岩松、冯小刚、张炜、沈石溪等大家联袂推荐。
经典常谈  八年级下 下册推荐书目   人民教育出版社 朱自清  初中,无作者,¥20.10,人民教育出版社,http://product.dangdang.com/29966103.html,无简介
快乐读书吧-三年级下中国古代寓言-伊索寓言-克雷洛夫寓言-拉封丹,无作者,¥31.60,四川教育出版社,http://product.dangdang.com/29996673.html,三年级下册必读课外书快乐读书吧中国古代语言故事伊索寓言拉封丹寓言克雷洛夫寓言
静候葡萄成熟时  汪曾祺散文精选 问到何时葡萄先熟透你要静候再静,汪曾祺,¥29.80,江苏凤凰文艺出版社,http://product.dangdang.com/29990709.html,汪曾祺经典散文治愈合集，用一颗葡萄的智慧作为焦虑时代的情绪解药。在不慌不忙的文字里，学会等待、感受日常、安顿内心。人生不必急于求成，只管静候。葡萄会熟，日子会暖，答案都在书里
名家名作阅读课程化书系：昆虫记（赠手册）,无作者,¥30.00,四川教育出版社,http://product.dangdang.com/29986729.html,无简介
晚星 全家福印特签版 豪华定制款 网络原名藏南晚星 治愈系作者境,境风,¥34.80,三环出版社,http://product.dangdang.com/29993657.html,大雾弥漫的国道，浓墨蔓延开来的夜空，碎钻一样的满天星星， 许南珩就在此刻和方识攸相遇。  风一去万里，晚星亘古不移。
十日终焉8因果无限流齐夏杀虫队队员当当自营,杀虫队队员,¥38.50,江苏凤凰文艺出版社,http://product.dangdang.com/29953844.html,畅销无限流小说《十日终焉》系列第八册《十日终焉·因果》 随书赠 三小只QQ卡  神·齐夏书签  夏日海滩风海报 因果之下 齐夏能否颠覆命运
十日终焉9入梦 当当专享版 杀虫队队员 当当专享随书赠品 番茄小说,杀虫队队员,¥38.50,江苏凤凰文艺出版社,http://product.dangdang.com/29985248.html,当当专享加赠：双龙镭射票、楚天秋异形QQ卡、天台谈判明信片；随书附赠楚天秋、文巧云、金元勋QQ卡、双面海报、列车车票
经典常谈 昆虫记 八年级下册课外阅读书目套装共2册 升级版 名著阅,亨利,¥47.70,人民教育出版社,http://product.dangdang.com/29995903.html,无简介
刘震云咸的玩笑印签版 刘震云新书 当当自营 现货发售 先下单先发,刘震云,¥49.80,人民文学出版社,http://product.dangdang.com/29981678.html,《咸的玩笑》既写生活，也写生活的道理；既塑造虚构的人物，也看见世上的每个人。 世上许多玩笑，注定要流着泪把它开完。
有所为 头部商业IP“胡说老王” 首 部作品 当当专享印章版,王栋,¥49.90,中国友谊出版公司,http://product.dangdang.com/29980109.html,购书即赠“上上签”书签，三款随机掉落。一本普通人持续成事的精进之道，在不确定的时期活出确定的自己。一次成事是运气，持续成事是本事，人生就要有所为！
快乐读书吧三年级下册阅读全4册 中国古代寓言 伊索寓言 拉封丹寓,稻草人工作室,¥29.80,吉林美术出版社,http://product.dangdang.com/29980031.html,无简介
名家名作阅读课程化书系：骆驼祥子（赠手册）,无作者,¥30.00,四川教育出版社,http://product.dangdang.com/29986728.html,无简介
历史中的大与小（马伯庸全新历史随笔集，聊聊历史，谈谈文化，给,马伯庸,¥39.00,湖南文艺出版社,http://product.dangdang.com/29993652.html,马伯庸全新历史随笔集，聊聊历史，谈谈文化，给你们讲几个好玩的事儿。
名家名作阅读课程化书系：钢铁是怎样炼成的（赠手册）,无作者,¥28.00,四川教育出版社,http://product.dangdang.com/29986731.html,无简介
快乐读书吧六年级下册阅读全4册 爱丽丝漫游奇境记 鲁滨逊漂流记 ,刘易斯・卡罗尔,¥29.80,吉林美术出版社,http://product.dangdang.com/29980039.html,无简介
