职位名称,公司名称,薪资
python,重庆蓝思晨科技有限公司,7-9千
python开发初级,西安开心网信息科技有限公司,5-6千
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
python开发工程师实习生,河南芯码智能科技有限公司,6-8千
初级Python开发,成都零夏八度科技有限公司,5-7千·13薪
Python实习生,河南塔韵文化传媒有限公司,4-7千·13薪
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
python开发工程师实习生,河南芯码智能科技有限公司,6-8千
python后端工程师,河南瑞出工业设计有限公司,7-9千·13薪
python工程师,成都至诚云连通信科技有限公司,6-8千·13薪
后端/python工程师,苏州禾昌聚合材料股份有限公司,7-8千·13薪
Python开发工程师（实习生）,南京洲源信息科技有限公司,200元/天
python开发实习生,宁波宝蓝物流科技有限公司,5千-1万·24薪
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
python开发工程师,西安融界电子科技有限公司,4.5-7千
python初级开发工程师,深圳优地环境科技有限公司,6千-1.2万
python研发工程师(2026届校园招聘)-福州,中电福富信息科技有限公司,6千-1.1万
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
Python开发,西安山海鲲鸿信息科技有限公司,6千-1万
python开发工程师,一度一瓦节能环保科技（上海）有限公司,4.5-8千
Python开发实习生,成都迪格天河科技有限公司,3-4千
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
python,成都速拓新科技有限公司,8千-1.2万
python开发工程师,长沙惠科光电有限公司,8-9千
python开发工程师,西安融界电子科技有限公司,6千-1万
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
python开发工程师,上海好课汇学文化传媒有限公司,1-1.4万·13薪
Python 后端开发实习生,雅通数据科技（上海）有限公司,180元/天
python开发工程师,陕西九州数模科技有限公司,5-8千·13薪
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
Python Flask后端开发实习生,武汉慧联无限科技有限公司,150元/天
python开发工程师,深圳铸泰科技有限公司,1.2-2.4万·13薪
Python数据专员,青岛清数生态文明研究院有限公司,6千-1万
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
python开发工程师,南通展乐信息科技有限公司,5千-1万
python开发工程师,三河市贰进制科技有限公司,1-1.5万·13薪
Python研发工程师 (MJ003534),福建博思软件股份有限公司,1.2-1.6万·13薪
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
python开发工程师,陕西安储科技有限公司,8千-1.6万
python开发助理,深圳市魅汇贸易有限公司,6-9.5千
Python开发工程师,旭日蓝天（武汉）科技有限公司,7千-1万
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
Python开发工程师-理工科计算机2425届优先,上海好课汇学文化传媒有限公司,1-1.5万
Python软件开发工程师,河南秋瑭实业发展有限公司,6-8千·13薪
Python开发工程师,北京和牧兴邦网络技术有限公司,6-8千
python开发,石家庄鸣迅信息技术有限公司,1-1.2万·13薪
